State.healthy 	 State.sick 	 State.dead 	 State.immune 	 
1040399 	 1 	 0 	 0 	 
1040394 	 5 	 0 	 1 	 
1040385 	 10 	 2 	 3 	 
1040372 	 15 	 4 	 9 	 
1040351 	 24 	 9 	 16 	 
1040328 	 33 	 18 	 21 	 
1040292 	 46 	 29 	 33 	 
1040259 	 45 	 47 	 49 	 
1040210 	 61 	 63 	 66 	 
1040164 	 64 	 84 	 88 	 
1040105 	 82 	 107 	 106 	 
1040035 	 95 	 142 	 128 	 
1039961 	 107 	 180 	 152 	 
1039882 	 102 	 221 	 195 	 
1039800 	 114 	 260 	 226 	 
1039698 	 136 	 300 	 266 	 
1039605 	 132 	 346 	 317 	 
1039489 	 162 	 394 	 355 	 
1039356 	 178 	 448 	 418 	 
1039242 	 171 	 499 	 488 	 
1039104 	 176 	 569 	 551 	 
1038965 	 196 	 631 	 608 	 
1038830 	 199 	 701 	 670 	 
1038659 	 226 	 774 	 741 	 
1038507 	 212 	 848 	 833 	 
1038345 	 228 	 917 	 910 	 
1038156 	 257 	 1011 	 976 	 
1037981 	 256 	 1099 	 1064 	 
1037792 	 267 	 1197 	 1144 	 
1037585 	 276 	 1284 	 1255 	 
1037366 	 290 	 1376 	 1368 	 
1037168 	 288 	 1466 	 1478 	 
1036954 	 300 	 1564 	 1582 	 
1036757 	 288 	 1666 	 1689 	 
1036531 	 300 	 1789 	 1780 	 
1036286 	 338 	 1883 	 1893 	 
1036032 	 357 	 2002 	 2009 	 
1035776 	 362 	 2127 	 2135 	 
1035508 	 382 	 2256 	 2254 	 
1035248 	 363 	 2391 	 2398 	 
1034956 	 386 	 2530 	 2528 	 
1034690 	 383 	 2665 	 2662 	 
1034399 	 405 	 2803 	 2793 	 
1034101 	 410 	 2958 	 2931 	 
1033808 	 411 	 3090 	 3091 	 
1033484 	 437 	 3259 	 3220 	 
1033173 	 431 	 3421 	 3375 	 
1032876 	 433 	 3572 	 3519 	 
1032571 	 447 	 3722 	 3660 	 
1032240 	 471 	 3861 	 3828 	 
1031888 	 494 	 4043 	 3975 	 
1031525 	 509 	 4201 	 4165 	 
1031166 	 512 	 4384 	 4338 	 
1030790 	 543 	 4551 	 4516 	 
1030438 	 519 	 4750 	 4693 	 
1030060 	 532 	 4921 	 4887 	 
1029700 	 524 	 5113 	 5063 	 
1029320 	 552 	 5298 	 5230 	 
1028903 	 576 	 5497 	 5424 	 
1028508 	 566 	 5684 	 5642 	 
1028081 	 604 	 5885 	 5830 	 
1027665 	 606 	 6100 	 6029 	 
1027234 	 617 	 6298 	 6251 	 
1026809 	 611 	 6512 	 6468 	 
1026360 	 633 	 6732 	 6675 	 
1025937 	 621 	 6952 	 6890 	 
1025498 	 628 	 7158 	 7116 	 
1025029 	 681 	 7351 	 7339 	 
1024572 	 683 	 7586 	 7559 	 
1024078 	 683 	 7830 	 7809 	 
1023613 	 666 	 8093 	 8028 	 
1023115 	 709 	 8317 	 8259 	 
1022611 	 725 	 8571 	 8493 	 
1022100 	 714 	 8832 	 8754 	 
1021606 	 713 	 9093 	 8988 	 
1021076 	 747 	 9337 	 9240 	 
1020539 	 771 	 9619 	 9471 	 
1020020 	 741 	 9882 	 9757 	 
1019473 	 770 	 10167 	 9990 	 
1018908 	 799 	 10447 	 10246 	 
1018345 	 803 	 10736 	 10516 	 
1017781 	 805 	 11015 	 10799 	 
1017200 	 812 	 11306 	 11082 	 
1016647 	 799 	 11598 	 11356 	 
1016059 	 840 	 11869 	 11632 	 
1015472 	 836 	 12154 	 11938 	 
1014875 	 845 	 12416 	 12264 	 
1014274 	 862 	 12704 	 12560 	 
1013685 	 870 	 12995 	 12850 	 
1013092 	 855 	 13308 	 13145 	 
1012449 	 891 	 13613 	 13447 	 
1011825 	 877 	 13927 	 13771 	 
1011166 	 915 	 14230 	 14089 	 
1010522 	 942 	 14511 	 14425 	 
1009886 	 912 	 14841 	 14761 	 
1009245 	 950 	 15143 	 15062 	 
1008612 	 907 	 15492 	 15389 	 
1007966 	 932 	 15805 	 15697 	 
1007264 	 981 	 16128 	 16027 	 
1006634 	 919 	 16476 	 16371 	 
1005942 	 949 	 16786 	 16723 	 
1005236 	 999 	 17119 	 17046 	 
1004516 	 1004 	 17460 	 17420 	 
1003788 	 997 	 17866 	 17749 	 
1003046 	 1052 	 18209 	 18093 	 
1002325 	 1022 	 18575 	 18478 	 
1001597 	 1025 	 18921 	 18857 	 
1000847 	 1063 	 19267 	 19223 	 
1000107 	 1053 	 19630 	 19610 	 
999347 	 1109 	 19974 	 19970 	 
998590 	 1082 	 20352 	 20376 	 
997842 	 1098 	 20730 	 20730 	 
997093 	 1106 	 21092 	 21109 	 
996315 	 1090 	 21490 	 21505 	 
995545 	 1093 	 21869 	 21893 	 
994719 	 1180 	 22252 	 22249 	 
993895 	 1168 	 22696 	 22641 	 
993080 	 1161 	 23128 	 23031 	 
992281 	 1157 	 23519 	 23443 	 
991451 	 1187 	 23894 	 23868 	 
990605 	 1226 	 24304 	 24265 	 
989724 	 1276 	 24724 	 24676 	 
988905 	 1222 	 25132 	 25141 	 
988011 	 1259 	 25565 	 25565 	 
987140 	 1231 	 25996 	 26033 	 
986290 	 1203 	 26429 	 26478 	 
985421 	 1225 	 26868 	 26886 	 
984527 	 1265 	 27279 	 27329 	 
983586 	 1339 	 27708 	 27767 	 
982692 	 1289 	 28162 	 28257 	 
981765 	 1291 	 28639 	 28705 	 
980870 	 1256 	 29117 	 29157 	 
979962 	 1278 	 29548 	 29612 	 
979064 	 1300 	 29991 	 30045 	 
978176 	 1319 	 30411 	 30494 	 
977201 	 1336 	 30882 	 30981 	 
976265 	 1329 	 31372 	 31434 	 
975315 	 1342 	 31847 	 31896 	 
974358 	 1368 	 32304 	 32370 	 
973399 	 1380 	 32788 	 32833 	 
972407 	 1395 	 33301 	 33297 	 
971414 	 1407 	 33773 	 33806 	 
970470 	 1394 	 34259 	 34277 	 
969429 	 1458 	 34725 	 34788 	 
968445 	 1445 	 35241 	 35269 	 
967422 	 1429 	 35772 	 35777 	 
966400 	 1460 	 36278 	 36262 	 
965393 	 1457 	 36807 	 36743 	 
964358 	 1456 	 37319 	 37267 	 
963298 	 1499 	 37839 	 37764 	 
962225 	 1541 	 38353 	 38281 	 
961207 	 1487 	 38883 	 38823 	 
960113 	 1524 	 39375 	 39388 	 
959029 	 1513 	 39900 	 39958 	 
957988 	 1514 	 40413 	 40485 	 
956926 	 1526 	 40949 	 40999 	 
955814 	 1587 	 41445 	 41554 	 
954741 	 1532 	 42004 	 42123 	 
953644 	 1534 	 42549 	 42673 	 
952550 	 1566 	 43097 	 43187 	 
951419 	 1560 	 43662 	 43759 	 
950290 	 1598 	 44189 	 44323 	 
949170 	 1584 	 44756 	 44890 	 
948102 	 1561 	 45267 	 45470 	 
946972 	 1616 	 45787 	 46025 	 
945809 	 1634 	 46318 	 46639 	 
944646 	 1622 	 46891 	 47241 	 
943439 	 1706 	 47442 	 47813 	 
942255 	 1704 	 48028 	 48413 	 
941121 	 1664 	 48641 	 48974 	 
939918 	 1705 	 49223 	 49554 	 
938685 	 1716 	 49816 	 50183 	 
937506 	 1725 	 50414 	 50755 	 
936282 	 1763 	 50978 	 51377 	 
935087 	 1736 	 51569 	 52008 	 
933824 	 1785 	 52181 	 52610 	 
932618 	 1737 	 52857 	 53188 	 
931357 	 1761 	 53465 	 53817 	 
930106 	 1781 	 54072 	 54441 	 
928844 	 1795 	 54705 	 55056 	 
927613 	 1769 	 55303 	 55715 	 
